year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause,tons_inedible_parts,tons_not_fit_for_human_consumption
2024,Farm,Not Applicable,Dry Goods,Buyer Rejections,Buyer Rejections,16.731,14822.22456,0,0
2024,Farm,Not Applicable,Dry Goods,Excess,Packhouse Losses (Not Marketable),12.922,11447.77872,0,0
2024,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Bad Weather),35360.693,21654312.33,0,35360.693
2024,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Food Safety),0,0,0,0
2024,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Market Dynamics),58.873,35336.445,0,0
2024,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Other),72.273,40483.38053,0,72.273
2024,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Pests/Disease),418.161,261990.1483,0,418.161
2024,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (Inedible),33025.05207,96036556.49,0,33025.05207
2024,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (Marketable),57775.86451,77981500.53,0,0
2024,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (Not Marketable),40551.42387,65689833.52,0,0
2024,Farm,Not Applicable,Dry Goods,Spoiled,Packhouse Losses (Inedible),171.678,152091.9173,0,171.678
2024,Farm,Not Applicable,Produce,Buyer Rejections,Buyer Rejections,620448.3103,272781997.9,146865.287,0
2024,Farm,Not Applicable,Produce,Excess,Packhouse Losses (Not Marketable),325992.4217,175102012.7,69745.24119,0
2024,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (Bad Weather),463464.4532,174490496.4,96836.65274,463464.4532
2024,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (Food Safety),3.501875,2315.545699,1.10191875,3.501875
2024,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (Market Dynamics),3275.516859,1846414.764,914.1770517,0
2024,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (Other),8612.679151,3762863.785,1539.56394,8612.679151
2024,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (Pests/Disease),10833.98854,6208561.292,3214.656849,10833.98854
2024,Farm,Not Applicable,Produce,Not Harvested,Left Behind After Harvest (Inedible),4989887.875,4290605503,1004651.116,4989887.875
2024,Farm,Not Applicable,Produce,Not Harvested,Left Behind After Harvest (Marketable),3745232.257,3053337923,774284.1977,0
2024,Farm,Not Applicable,Produce,Not Harvested,Left Behind After Harvest (Not Marketable),4581902.847,3784027733,779821.5807,0
2024,Farm,Not Applicable,Produce,Spoiled,Packhouse Losses (Inedible),2004819.646,1343904263,344238.4078,2004819.646
2024,Foodservice,Bars And Taverns,Breads & Bakery,Date Label Concerns,Date Label Concerns,145.4169137,894918.1794,0,0
2024,Foodservice,Bars And Taverns,Breads & Bakery,Mistakes & Malfunctions,Cooking Issues,17.8242718,109693.3256,0,17.8242718
2024,Foodservice,Bars And Taverns,Breads & Bakery,Mistakes & Malfunctions,Equipment Issues,3.117076227,19182.96924,0,3.117076227
2024,Foodservice,Bars And Taverns,Breads & Bakery,Mistakes & Malfunctions,Handling Errors,40.82115307,251219.69,0,40.82115307
2024,Foodservice,Bars And Taverns,Breads & Bakery,Other,Other,32.33363436,198986.1871,0,32.33363436
2024,Foodservice,Bars And Taverns,Breads & Bakery,Spoiled,Spoiled,178.8120911,1100437.266,0,178.8120911
2024,Foodservice,Bars And Taverns,Breads & Bakery,Trimmings & Byproducts,Trimmings & Byproducts,64.19439957,395062.2643,64.19439957,64.19439957
2024,Foodservice,Bars And Taverns,Dairy & Eggs,Date Label Concerns,Date Label Concerns,20.97538798,126813.1677,0.185470493,0
2024,Foodservice,Bars And Taverns,Dairy & Eggs,Mistakes & Malfunctions,Cooking Issues,7.864048942,47544.52972,0.069536212,7.864048942
2024,Foodservice,Bars And Taverns,Dairy & Eggs,Mistakes & Malfunctions,Equipment Issues,1.055885147,6383.67883,0.009336444,1.055885147
2024,Foodservice,Bars And Taverns,Dairy & Eggs,Mistakes & Malfunctions,Handling Errors,2.935819789,17749.40266,0.025959374,2.935819789
2024,Foodservice,Bars And Taverns,Dairy & Eggs,Other,Other,1.510374841,9131.436239,0.013355174,1.510374841
2024,Foodservice,Bars And Taverns,Dairy & Eggs,Spoiled,Spoiled,191.7785829,1159456.484,1.695762116,191.7785829
2024,Foodservice,Bars And Taverns,Dairy & Eggs,Trimmings & Byproducts,Trimmings & Byproducts,3.420149715,20677.56838,3.420149715,3.420149715
2024,Foodservice,Bars And Taverns,Dry Goods,Date Label Concerns,Date Label Concerns,225.1450107,953403.9947,0,0
2024,Foodservice,Bars And Taverns,Dry Goods,Mistakes & Malfunctions,Cooking Issues,46.37643387,196386.6629,0,46.37643387
2024,Foodservice,Bars And Taverns,Dry Goods,Mistakes & Malfunctions,Equipment Issues,2.211527723,9364.983747,0,2.211527723
